id,first_name,name,nationality,club_name,position1,position2,position3,tm_url,national_team
,Yannick,Carrasco,be,Atletico Madrid,W,A,,https://www.transfermarkt.com/yannick-carrasco/profil/spieler/140776,TRUE
,Nacer,Chadli,be,Basaksehir,W,A,,https://www.transfermarkt.com/nacer-chadli/profil/spieler/59631,TRUE
,Eden,Hazard,be,Real Madrid,A,,,https://www.transfermarkt.com/eden-hazard/profil/spieler/50202,TRUE
,Jeremy,Doku,be,Stade Rennais,W,,,https://www.transfermarkt.com/jeremy-doku/profil/spieler/486049,TRUE
721,Kasper,Schmeichel,dk,Leicester,Por,,,https://www.transfermarkt.com/kasper-schmeichel/profil/spieler/16911,TRUE
1455,Joachim,Andersen,dk,Fulham,Dc,,,https://www.transfermarkt.com/joachim-andersen/profil/spieler/260827,TRUE
899,Jannik,Vestergaard,dk,Southampton,Dc,,,https://www.transfermarkt.com/jannik-vestergaard/profil/spieler/99331,TRUE
655,Andreas,Christensen,dk,Chelsea,Dc,,,https://www.transfermarkt.com/andreas-christensen/profil/spieler/196948,TRUE
908,Pierre-Emile,Hojbjerg,dk,Tottenham,C,,,https://www.transfermarkt.com/pierre-emile-hojbjerg/profil/spieler/167799,TRUE
1060,Jonas,Lossl,dk,Midtjylland,Por,,,https://www.transfermarkt.com/jonas-lossl/profil/spieler/48870,TRUE
1508,Joakim,Maehle,dk,Atalanta,Dd,E,,https://www.transfermarkt.com/joakim-maehle/profil/spieler/369674,TRUE
311,Andreas,Skov Olsen,dk,Bologna,W,A,,https://www.transfermarkt.com/andreas-skov-olsen/profil/spieler/432982,TRUE
281,Christian,Eriksen,dk,Inter,T,,,https://www.transfermarkt.com/christian-eriksen/profil/spieler/69633,TRUE
134,Simon,Kjaer,dk,Milan,Dc,,,https://www.transfermarkt.com/simon-kjaer/profil/spieler/48859,TRUE
258,Andreas,Cornelius,dk,Parma,Pc,,,https://www.transfermarkt.com/andreas-cornelius/profil/spieler/203412,TRUE
1279,Mikkel,Damsgaard,dk,Sampdoria,W,T,A,https://www.transfermarkt.com/mikkel-damsgaard/profil/spieler/540941,TRUE
158,Jens Stryger,Larsen,dk,Udinese,Dc,Dd,E,https://www.transfermarkt.com/jens-stryger-larsen/profil/spieler/69646,TRUE
