id,first_name,name,nationality,club_name,position1,position2,position3,tm_url
,Armindo,Sieb,de,Bayern Munchen,A,,,https://www.transfermarkt.com/armindo-sieb/profil/spieler/569033
,Roman,Burki,ch,Borussia Dortmund,Por,,,https://www.transfermarkt.com/roman-burki/profil/spieler/59027
,Luca,Unbehaun,de,Borussia Dortmund,Por,,,https://www.transfermarkt.com/luca-unbehaun/profil/spieler/388815
,Marwin,Hitz,ch,Borussia Dortmund,Por,,,https://www.transfermarkt.com/marwin-hitz/profil/spieler/59238
,Stefan,Drljaca,de,Borussia Dortmund,Por,,,https://www.transfermarkt.com/stefan-drlja%C4%8Da/profil/spieler/388067
,Mateu,Morey,es,Borussia Dortmund,Dd,E,,https://www.transfermarkt.com/mateu-morey-bauza/profil/spieler/388513
,Dan-Axel,Zagadou,fr,Borussia Dortmund,Dc,,,https://www.transfermarkt.com/dan-axel-zagadou/profil/spieler/344598
,Raphael,Guerreiro,pt,Borussia Dortmund,E,,,https://www.transfermarkt.com/raphael-guerreiro/profil/spieler/170986
,Nico,Schulz,de,Borussia Dortmund,Ds,E,,https://www.transfermarkt.com/nico-schulz/profil/spieler/85867
,Mats,Hummels,de,Borussia Dortmund,Dc,,,https://www.transfermarkt.com/mats-hummels/profil/spieler/39728
,Manuel,Akanji,ch,Borussia Dortmund,Dc,,,https://www.transfermarkt.com/manuel-akanji/profil/spieler/284730
,Lukasz,Piszczek,pl,Borussia Dortmund,Dc,Dd,,https://www.transfermarkt.com/lukasz-piszczek/profil/spieler/25727
,Marcel,Schmelzer,de,Borussia Dortmund,Ds,E,,https://www.transfermarkt.com/marcel-schmelzer/profil/spieler/35208
,Thomas,Delaney,dk,Borussia Dortmund,M,C,,https://www.transfermarkt.com/thomas-delaney/profil/spieler/91849
,Jadon,Sancho,gb-eng,Borussia Dortmund,A,,,https://www.transfermarkt.com/jadon-sancho/profil/spieler/401173
,Mahmoud,Dahoud,de,Borussia Dortmund,C,,,https://www.transfermarkt.com/mahmoud-dahoud/profil/spieler/191422
,Thorgan,Hazard,be,Borussia Dortmund,T,A,,https://www.transfermarkt.com/thorgan-hazard/profil/spieler/102226
,Julian,Brandt,de,Borussia Dortmund,T,W,,https://www.transfermarkt.com/julian-brandt/profil/spieler/187492
,,Reinier,br,Borussia Dortmund,T,,,https://www.transfermarkt.com/reinier/profil/spieler/627226
,Jude,Bellingham,gb-eng,Borussia Dortmund,C,W,,https://www.transfermarkt.com/jude-bellingham/profil/spieler/581678
,Emre,Can,de,Borussia Dortmund,M,C,,https://www.transfermarkt.com/emre-can/profil/spieler/119296
,Thomas,Meunier,be,Borussia Dortmund,E,,,https://www.transfermarkt.com/thomas-meunier/profil/spieler/100986
,Axel,Witsel,be,Borussia Dortmund,M,C,,https://www.transfermarkt.com/axel-witsel/profil/spieler/35047
,Felix,Passlack,de,Borussia Dortmund,Dd,E,,https://www.transfermarkt.com/felix-passlack/profil/spieler/274461
,Giovanni,Reyna,us,Borussia Dortmund,T,A,,https://www.transfermarkt.com/giovanni-reyna/profil/spieler/504215
,Tobias,Raschl,de,Borussia Dortmund,M,C,,https://www.transfermarkt.com/tobias-raschl/profil/spieler/384745
,Dominik,Wanner,de,Borussia Dortmund,E,W,,https://www.transfermarkt.com/dominik-wanner/profil/spieler/333451
,Erling,Haaland,no,Borussia Dortmund,Pc,,,https://www.transfermarkt.com/erling-haaland/profil/spieler/418560
,Marco,Reus,de,Borussia Dortmund,A,,,https://www.transfermarkt.com/marco-reus/profil/spieler/35207
,Youssoufa,Moukoko,de,Borussia Dortmund,Pc,,,https://www.transfermarkt.com/youssoufa-moukoko/profil/spieler/467720
,Steffen,Tigges,de,Borussia Dortmund,Pc,,,https://www.transfermarkt.com/steffen-tigges/profil/spieler/296879
,Ansgar,Knauff,de,Borussia Dortmund,W,,,https://www.transfermarkt.com/ansgar-knauff/profil/spieler/429874
,Yann,Sommer,ch,Borussia Mbach,Por,,,https://www.transfermarkt.com/yann-sommer/profil/spieler/42205
,Tobias,Sippel,de,Borussia Mbach,Por,,,https://www.transfermarkt.com/tobias-sippel/profil/spieler/31653
,Max,Grun,de,Borussia Mbach,Por,,,https://www.transfermarkt.com/max-grun/profil/spieler/32779
,Jan,Olschowsky,de,Borussia Mbach,Por,,,https://www.transfermarkt.com/jan-olschowsky/profil/spieler/455922
,Michael,Lang,ch,Borussia Mbach,Dd,E,,https://www.transfermarkt.com/michael-lang/profil/spieler/51346
,Mamadou,Doucoure,fr,Borussia Mbach,Dc,,,https://www.transfermarkt.com/mamadou-doucoure/profil/spieler/340480
,Jordan,Beyer,de,Borussia Mbach,Dd,E,,https://www.transfermarkt.com/jordan-beyer/profil/spieler/403898
,Oscar,Wendt,se,Borussia Mbach,Ds,E,,https://www.transfermarkt.com/oscar-wendt/profil/spieler/19305
,Stefan,Lainer,at,Borussia Mbach,Dd,E,,https://www.transfermarkt.com/stefan-lainer/profil/spieler/85791
,Tony,Jantschke,de,Borussia Mbach,Dc,Dd,,https://www.transfermarkt.com/tony-jantschke/profil/spieler/47587
,Ramy,Bensebaini,dz,Borussia Mbach,Ds,E,,https://www.transfermarkt.com/ramy-bensebaini/profil/spieler/284732
,Matthias,Ginter,de,Borussia Mbach,Dc,,,https://www.transfermarkt.com/matthias-ginter/profil/spieler/124502
,Joe,Scally,us,Borussia Mbach,Dd,E,,https://www.transfermarkt.com/joe-scally/profil/spieler/504153
,Nico,Elvedi,ch,Borussia Mbach,Dc,Dd,,https://www.transfermarkt.com/nico-elvedi/profil/spieler/192635
,Kaan,Kurt,de,Borussia Mbach,Dd,E,,https://www.transfermarkt.com/kaan-kurt/profil/spieler/392154
,Andreas,Poulsen,dk,Borussia Mbach,Ds,E,,https://www.transfermarkt.com/andreas-poulsen/profil/spieler/345746
,Christoph,Kramer,de,Borussia Mbach,M,C,,https://www.transfermarkt.com/christoph-kramer/profil/spieler/82097
,Denis,Zakaria,ch,Borussia Mbach,M,,,https://www.transfermarkt.com/denis-zakaria/profil/spieler/334526
,Hannes,Wolf,at,Borussia Mbach,T,A,,https://www.transfermarkt.com/hannes-wolf/profil/spieler/321070
,Lars,Stindl,de,Borussia Mbach,A,,,https://www.transfermarkt.com/lars-stindl/profil/spieler/48298
847,Valentino,Lazaro,at,Borussia Mbach,E,W,,https://www.transfermarkt.com/valentino-lazaro/profil/spieler/186368
,Laszlo,Benes,sk,Borussia Mbach,C,,,https://www.transfermarkt.com/laszlo-benes/profil/spieler/243188
,Jonas,Hofmann,de,Borussia Mbach,C,T,,https://www.transfermarkt.com/jonas-hofmann/profil/spieler/7161
,Torban,Musel,de,Borussia Mbach,T,A,,https://www.transfermarkt.com/torben-musel/profil/spieler/368860
,Famana,Quizera,pt,Borussia Mbach,T,,,https://www.transfermarkt.com/famana-quizera/profil/spieler/504089
,Florian,Neuhaus,de,Borussia Mbach,C,T,,https://www.transfermarkt.com/florian-neuhaus/profil/spieler/278332
,Rocco,Reitz,de,Borussia Mbach,C,T,,https://www.transfermarkt.com/rocco-reitz/profil/spieler/467434
,Patrick,Herrmann,de,Borussia Mbach,A,,,https://www.transfermarkt.com/patrick-herrmann/profil/spieler/32711
,Marcus,Thuram,fr,Borussia Mbach,A,,,https://www.transfermarkt.com/marcus-thuram/profil/spieler/318528
,Alassane,Plea,fr,Borussia Mbach,Pc,,,https://www.transfermarkt.com/alassane-plea/profil/spieler/167329
,Ibrahima,Traore,gn,Borussia Mbach,T,W,,https://www.transfermarkt.com/ibrahima-traore/profil/spieler/47285
,Julio,Villalba,py,Borussia Mbach,Pc,,,https://www.transfermarkt.com/julio-villalba/profil/spieler/401717
,Breel,Embolo,ch,Borussia Mbach,A,,,https://www.transfermarkt.com/breel-embolo/profil/spieler/237662
,Kevin,Trapp,de,Eintracht,Por,,,https://www.transfermarkt.com/kevin-trapp/profil/spieler/45672
,Markus,Schubert,de,Eintracht,Por,,,https://www.transfermarkt.com/markus-schubert/profil/spieler/296741
,Evan,Ndicka,fr,Eintracht,Dc,Ds,,https://www.transfermarkt.com/evan-ndicka/profil/spieler/371149
,Martin,Hinteregger,at,Eintracht,Dc,,,https://www.transfermarkt.com/martin-hinteregger/profil/spieler/85789
,Almamy,Toure,fr,Eintracht,Dd,E,,https://www.transfermarkt.com/almamy-toure/profil/spieler/216181
,David,Abraham,ar,Eintracht,Dc,,,https://www.transfermarkt.com/david-abraham/profil/spieler/58178
,Makoto,Hasebe,ja,Eintracht,M,,,https://www.transfermarkt.com/makoto-hasebe/profil/spieler/39259
,Danny,da Costa,de,Eintracht,Dd,E,,https://www.transfermarkt.com/danny-da-costa/profil/spieler/85906
,Erik,Durm,de,Eintracht,Dd,Ds,E,https://www.transfermarkt.com/erik-durm/profil/spieler/93922
840,Jetro,Willems,nl,Eintracht,Ds,E,,https://www.transfermarkt.com/jetro-willems/profil/spieler/146258
,,Tuta,br,Eintracht,Dc,Dd,,https://www.transfermarkt.com/tuta/profil/spieler/546213
,Yannick,Brugger,de,Eintracht,Dc,,,https://www.transfermarkt.com/yannick-brugger/profil/spieler/441238
,Stefan,Ilsanker,at,Eintracht,M,,,https://www.transfermarkt.com/stefan-ilsanker/profil/spieler/40074
,Ajdin,Hrustic,au,Eintracht,T,W,,https://www.transfermarkt.com/ajdin-hrustic/profil/spieler/265625
,Djibril,Sow,ch,Eintracht,M,C,,https://www.transfermarkt.com/djibril-sow/profil/spieler/212723
,Filip,Kostic,rs,Eintracht,E,W,,https://www.transfermarkt.com/filip-kostic/profil/spieler/161011
,Steven,Zuber,ch,Eintracht,E,W,,https://www.transfermarkt.com/steven-zuber/profil/spieler/68033
,Daichi,Kamada,ja,Eintracht,T,A,,https://www.transfermarkt.com/daichi-kamada/profil/spieler/356141
,Sebastian,Rode,de,Eintracht,M,C,,https://www.transfermarkt.com/sebastian-rode/profil/spieler/44466
,Timothy,Chandler,us,Eintracht,Dd,E,,https://www.transfermarkt.com/timothy-chandler/profil/spieler/49723
,Aymen,Barkok,ma,Eintracht,C,T,,https://www.transfermarkt.com/aymen-barkok/profil/spieler/315332
,Dominik,Kohr,de,Eintracht,M,C,,https://www.transfermarkt.com/dominik-kohr/profil/spieler/118847
414,Amin,Younes,de,Eintracht,W,A,,https://www.transfermarkt.com/amin-younes/profil/spieler/96167
,Lukas,Fahrnberger,at,Eintracht,M,C,,https://www.transfermarkt.com/lukas-fahrnberger/profil/spieler/404262
,Luka,Jovic,rs,Eintracht,Pc,,,https://www.transfermarkt.com/luka-jovic/profil/spieler/257462
,Ragnar,Ache,de,Eintracht,Pc,,,https://www.transfermarkt.com/ragnar-ache/profil/spieler/416380
,Andre,Silva,pt,Eintracht,Pc,,,https://www.transfermarkt.com/andre-silva/profil/spieler/198008
,Jabez,Makanda,ao,Eintracht,Pc,,,https://www.transfermarkt.com/jabez-makanda/profil/spieler/519226
,Benjamin,Uphoff,de,Freiburg,Por,,,https://www.transfermarkt.com/benjamin-uphoff/profil/spieler/120296
,Florian,Muller,de,Freiburg,Por,,,https://www.transfermarkt.com/florian-muller/profil/spieler/284769
,Mark,Flekken,nl,Freiburg,Por,,,https://www.transfermarkt.com/mark-flekken/profil/spieler/125714
,Niclas,Thiede,de,Freiburg,Por,,,https://www.transfermarkt.com/niclas-thiede/profil/spieler/348778
,Philipp,Lienhart,at,Freiburg,Dc,,,https://www.transfermarkt.com/philipp-lienhart/profil/spieler/225657
,Manuel,Gulde,de,Freiburg,Dc,,,https://www.transfermarkt.com/manuel-gulde/profil/spieler/45683
,Lukas,Kubler,de,Freiburg,Dc,Dd,,https://www.transfermarkt.com/lukas-kubler/profil/spieler/93604
,Dominique,Heintz,de,Freiburg,Dc,Ds,,https://www.transfermarkt.com/dominique-heintz/profil/spieler/110036
,Christian,Gunter,de,Freiburg,Ds,E,,https://www.transfermarkt.com/christian-gunter/profil/spieler/93707
,Keven,Schlotterbeck,de,Freiburg,Dc,,,https://www.transfermarkt.com/keven-schlotterbeck/profil/spieler/413843
,Amir,Abrashi,al,Freiburg,M,C,,https://www.transfermarkt.com/amir-abrashi/profil/spieler/66005
,Jonathan,Schmid,fr,Freiburg,E,,,https://www.transfermarkt.com/jonathan-schmid/profil/spieler/70285
,Baptiste,Santamaria,fr,Freiburg,M,C,,https://www.transfermarkt.com/baptiste-santamaria/profil/spieler/285323
,Guus,Til,nl,Freiburg,C,T,,https://www.transfermarkt.com/guus-til/profil/spieler/372267
,Janik,Haberer,de,Freiburg,C,T,,https://www.transfermarkt.com/janik-haberer/profil/spieler/177779
,Roland,Sallai,hu,Freiburg,T,W,,https://www.transfermarkt.com/roland-sallai/profil/spieler/332798
,Nicolas,Hofler,de,Freiburg,M,,,https://www.transfermarkt.com/nicolas-hofler/profil/spieler/55099
,Changhoon,Kwon,kr,Freiburg,T,W,,https://www.transfermarkt.com/chang-hoon-kwon/profil/spieler/259350
,Wooyeong,Jeong,kr,Freiburg,W,A,,https://www.transfermarkt.com/woo-yeong-jeong/profil/spieler/297583
,Vincenzo,Grifo,it,Freiburg,T,W,,https://www.transfermarkt.com/vincenzo-grifo/profil/spieler/185077
,Lino,Tempelmann,de,Freiburg,M,C,,https://www.transfermarkt.com/lino-tempelmann/profil/spieler/378883
,Yannik,Keitel,de,Freiburg,M,,,https://www.transfermarkt.com/yannik-keitel/profil/spieler/342039
